,nstrike,X,Y,Xlocal,Ylocal
0,3,626392.958459,1011981.51672,612.0970952328921,225.66581315206332
1,5,626606.361665,1011913.63895,827.5909683839512,164.7502151914888
2,6,626057.534342,1012063.38207,274.1926058164728,296.60119848808506
3,7,625936.210312,1012203.43285,148.3868837937748,432.64038152094486
4,8a,626634.302819,1012110.56191,849.1258933246193,362.4763147351732
5,8b,626670.541169,1012118.41857,885.0901477358963,371.50501238596735
6,9,626229.256311,1011971.04192,448.8211752989399,209.88326169788138
7,10,626283.755887,1012110.54728,498.76412673056575,351.0840109337762
8,12,626229.510281,1011891.42476,451.6591371937424,130.31629839355023
9,16,626719.154084,1012036.74453,936.3283365339427,291.4518312867182
10,17,626114.693837,1012058.0352,331.49552840728387,293.1123632372133
11,18,626457.365194,1011771.61939,683.2825121795642,17.969516299748793
12,20,626342.946016,1012190.00575,555.3440954775161,432.4217510193287
13,27,626563.886966,1011794.07601,789.0192898499527,43.87167214985765
14,30,625890.106713,1012187.80485,102.81481141307654,415.52424103798836
15,18005,625826.459718,1012159.95728,40.10519520769185,385.62555062843023
16,18007,626345.964124,1011900.64284,567.7524351704625,143.30925086434624
17,18012,626720.72749,1011888.57145,942.7101513048567,143.40789186745127
18,19001,626642.88858,1012174.72618,855.6245577765154,426.8854428140219
19,19008,625936.210312,1012203.43285,148.3868837937748,432.64038152094486
20,19009,626683.968521,1012043.2667,900.9496220387737,296.8285504182457
21,19021,625956.141498,1012155.94672,169.8488210915218,385.8261765360636
